,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
0,2016-09-08,2016,1,CAR,20.0,21.0,-1.0,DEN,2016CAR1,1,CAR,194,157
1,2016-09-08,2016,1,DEN,21.0,20.0,1.0,DEN,2016DEN1,1,DEN,178,148
2,2016-09-11,2016,1,ARI,21.0,23.0,-2.0,ARI,2016ARI1,1,ARI,271,92
3,2016-09-11,2016,1,ATL,24.0,31.0,-7.0,ATL,2016ATL1,1,ATL,334,52
4,2016-09-11,2016,1,BAL,13.0,7.0,6.0,BAL,2016BAL1,1,BAL,258,83
5,2016-09-11,2016,1,BUF,7.0,13.0,-6.0,BAL,2016BUF1,1,BUF,111,65
6,2016-09-11,2016,1,CHI,14.0,23.0,-9.0,HOU,2016CHI1,1,CHI,216,73
7,2016-09-11,2016,1,CIN,23.0,22.0,1.0,NYJ,2016CIN1,1,CIN,366,57
8,2016-09-11,2016,1,CLE,10.0,29.0,-19.0,PHI,2016CLE1,1,CLE,190,120
9,2016-09-11,2016,1,DAL,19.0,20.0,-1.0,DAL,2016DAL1,1,DAL,227,101
10,2016-09-11,2016,1,DET,39.0,35.0,4.0,IND,2016DET1,1,DET,340,116
11,2016-09-11,2016,1,HOU,23.0,14.0,9.0,HOU,2016HOU1,1,HOU,231,129
12,2016-09-11,2016,1,IND,35.0,39.0,-4.0,IND,2016IND1,1,IND,385,82
13,2016-09-11,2016,1,JAX,23.0,27.0,-4.0,JAX,2016JAX1,1,JAX,320,48
14,2016-09-11,2016,1,MIA,10.0,12.0,-2.0,SEA,2016MIA1,1,MIA,186,64
15,2016-09-11,2016,1,MIN,25.0,16.0,9.0,TEN,2016MIN1,1,MIN,236,65
16,2016-09-11,2016,1,NYG,20.0,19.0,1.0,DAL,2016NYG1,1,NYG,207,113
17,2016-09-11,2016,1,NYJ,22.0,23.0,-1.0,NYJ,2016NYJ1,1,NYJ,189,152
18,2016-09-11,2016,1,OAK,35.0,34.0,1.0,NO,2016OAK1,1,OAK,319,167
19,2016-09-11,2016,1,PHI,29.0,10.0,19.0,PHI,2016PHI1,1,PHI,278,133
20,2016-09-11,2016,1,SEA,12.0,10.0,2.0,SEA,2016SEA1,1,SEA,258,112
21,2016-09-11,2016,1,TEN,16.0,25.0,-9.0,TEN,2016TEN1,1,TEN,271,64
22,2016-09-12,2016,1,LAR,0.0,28.0,-28.0,SF,2016LAR1,1,LAR,130,65
23,2016-09-12,2016,1,PIT,38.0,16.0,22.0,WAS,2016PIT1,1,PIT,300,147
24,2016-09-12,2016,1,WAS,16.0,38.0,-22.0,WAS,2016WAS1,1,WAS,329,55
25,2016-09-15,2016,2,BUF,31.0,37.0,-6.0,BUF,2016BUF2,2,BUF,307,86
26,2016-09-15,2016,2,NYJ,37.0,31.0,6.0,BUF,2016NYJ2,2,NYJ,374,123
27,2016-09-18,2016,2,ARI,40.0,7.0,33.0,ARI,2016ARI2,2,ARI,315,105
28,2016-09-18,2016,2,ATL,35.0,28.0,7.0,OAK,2016ATL2,2,ATL,396,139
29,2016-09-18,2016,2,BAL,25.0,20.0,5.0,CLE,2016BAL2,2,BAL,302,80
30,2016-09-18,2016,2,CAR,46.0,27.0,19.0,CAR,2016CAR2,2,CAR,353,176
31,2016-09-18,2016,2,CIN,16.0,24.0,-8.0,PIT,2016CIN2,2,CIN,366,46
32,2016-09-18,2016,2,CLE,20.0,25.0,-5.0,CLE,2016CLE2,2,CLE,260,145
33,2016-09-18,2016,2,DAL,27.0,23.0,4.0,WAS,2016DAL2,2,DAL,292,102
34,2016-09-18,2016,2,DEN,34.0,20.0,14.0,DEN,2016DEN2,2,DEN,266,134
35,2016-09-18,2016,2,DET,15.0,16.0,-1.0,DET,2016DET2,2,DET,260,137
36,2016-09-18,2016,2,HOU,19.0,12.0,7.0,HOU,2016HOU2,2,HOU,268,97
37,2016-09-18,2016,2,IND,20.0,34.0,-14.0,DEN,2016IND2,2,IND,197,83
38,2016-09-18,2016,2,JAX,14.0,38.0,-24.0,LAC,2016JAX2,2,JAX,329,69
39,2016-09-18,2016,2,LAR,9.0,3.0,6.0,LAR,2016LAR2,2,LAR,239,64
40,2016-09-18,2016,2,MIA,24.0,31.0,-7.0,NE,2016MIA2,2,MIA,387,70
41,2016-09-18,2016,2,MIN,17.0,14.0,3.0,MIN,2016MIN2,2,MIN,286,30
42,2016-09-18,2016,2,NYG,16.0,13.0,3.0,NYG,2016NYG2,2,NYG,368,64
43,2016-09-18,2016,2,OAK,28.0,35.0,-7.0,OAK,2016OAK2,2,OAK,299,155
44,2016-09-18,2016,2,PIT,24.0,16.0,8.0,PIT,2016PIT2,2,PIT,259,124
45,2016-09-18,2016,2,SEA,3.0,9.0,-6.0,LAR,2016SEA2,2,SEA,254,67
46,2016-09-18,2016,2,TEN,16.0,15.0,1.0,DET,2016TEN2,2,TEN,238,139
47,2016-09-18,2016,2,WAS,23.0,27.0,-4.0,WAS,2016WAS2,2,WAS,364,82
48,2016-09-19,2016,2,CHI,14.0,29.0,-15.0,CHI,2016CHI2,2,CHI,235,64
49,2016-09-19,2016,2,PHI,29.0,14.0,15.0,CHI,2016PHI2,2,PHI,190,100
50,2016-09-22,2016,3,HOU,0.0,27.0,-27.0,NE,2016HOU3,3,HOU,196,109
51,2016-09-25,2016,3,ARI,18.0,33.0,-15.0,BUF,2016ARI3,3,ARI,287,88
52,2016-09-25,2016,3,BAL,19.0,17.0,2.0,JAX,2016BAL3,3,BAL,214,84
53,2016-09-25,2016,3,BUF,33.0,18.0,15.0,BUF,2016BUF3,3,BUF,119,208
54,2016-09-25,2016,3,CAR,10.0,22.0,-12.0,CAR,2016CAR3,3,CAR,265,105
55,2016-09-25,2016,3,CHI,17.0,31.0,-14.0,DAL,2016CHI3,3,CHI,317,78
56,2016-09-25,2016,3,CIN,17.0,29.0,-12.0,CIN,2016CIN3,3,CIN,206,143
57,2016-09-25,2016,3,CLE,24.0,30.0,-6.0,MIA,2016CLE3,3,CLE,279,169
58,2016-09-25,2016,3,DAL,31.0,17.0,14.0,DAL,2016DAL3,3,DAL,248,199
59,2016-09-25,2016,3,DEN,29.0,17.0,12.0,CIN,2016DEN3,3,DEN,312,52
60,2016-09-25,2016,3,DET,27.0,34.0,-7.0,GB,2016DET3,3,DET,385,50
61,2016-09-25,2016,3,IND,26.0,22.0,4.0,IND,2016IND3,3,IND,331,93
62,2016-09-25,2016,3,JAX,17.0,19.0,-2.0,JAX,2016JAX3,3,JAX,194,48
63,2016-09-25,2016,3,LAR,37.0,32.0,5.0,TB,2016LAR3,3,LAR,190,137
64,2016-09-25,2016,3,MIA,30.0,24.0,6.0,MIA,2016MIA3,3,MIA,319,115
65,2016-09-25,2016,3,MIN,22.0,10.0,12.0,CAR,2016MIN3,3,MIN,171,58
66,2016-09-25,2016,3,NYG,27.0,29.0,-2.0,NYG,2016NYG3,3,NYG,350,120
67,2016-09-25,2016,3,NYJ,3.0,24.0,-21.0,KC,2016NYJ3,3,NYJ,188,117
68,2016-09-25,2016,3,OAK,17.0,10.0,7.0,TEN,2016OAK3,3,OAK,249,123
69,2016-09-25,2016,3,PHI,34.0,3.0,31.0,PHI,2016PHI3,3,PHI,301,125
70,2016-09-25,2016,3,PIT,3.0,34.0,-31.0,PHI,2016PIT3,3,PIT,257,29
71,2016-09-25,2016,3,SEA,37.0,18.0,19.0,SEA,2016SEA3,3,SEA,308,127
72,2016-09-25,2016,3,TEN,10.0,17.0,-7.0,TEN,2016TEN3,3,TEN,214,181
73,2016-09-25,2016,3,WAS,29.0,27.0,2.0,NYG,2016WAS3,3,WAS,327,90
74,2016-09-26,2016,3,ATL,45.0,32.0,13.0,NO,2016ATL3,3,ATL,240,217
75,2016-09-29,2016,4,CIN,22.0,7.0,15.0,CIN,2016CIN4,4,CIN,296,77
76,2016-09-29,2016,4,MIA,7.0,22.0,-15.0,CIN,2016MIA4,4,MIA,189,62
77,2016-10-02,2016,4,ARI,13.0,17.0,-4.0,ARI,2016ARI4,4,ARI,325,118
78,2016-10-02,2016,4,ATL,48.0,33.0,15.0,ATL,2016ATL4,4,ATL,503,90
79,2016-10-02,2016,4,BAL,27.0,28.0,-1.0,BAL,2016BAL4,4,BAL,298,130
80,2016-10-02,2016,4,BUF,16.0,0.0,16.0,NE,2016BUF4,4,BUF,246,134
81,2016-10-02,2016,4,CAR,33.0,48.0,-15.0,ATL,2016CAR4,4,CAR,337,49
82,2016-10-02,2016,4,CHI,17.0,14.0,3.0,CHI,2016CHI4,4,CHI,302,114
83,2016-10-02,2016,4,CLE,20.0,31.0,-11.0,WAS,2016CLE4,4,CLE,223,163
84,2016-10-02,2016,4,DAL,24.0,17.0,7.0,SF,2016DAL4,4,DAL,245,194
85,2016-10-02,2016,4,DEN,27.0,7.0,20.0,TB,2016DEN4,4,DEN,238,89
86,2016-10-02,2016,4,DET,14.0,17.0,-3.0,CHI,2016DET4,4,DET,213,66
87,2016-10-02,2016,4,HOU,27.0,20.0,7.0,HOU,2016HOU4,4,HOU,254,115
88,2016-10-02,2016,4,IND,27.0,30.0,-3.0,JAX,2016IND4,4,IND,234,94
89,2016-10-02,2016,4,JAX,30.0,27.0,3.0,JAX,2016JAX4,4,JAX,207,136
90,2016-10-02,2016,4,LAR,17.0,13.0,4.0,ARI,2016LAR4,4,LAR,266,41
91,2016-10-02,2016,4,NYJ,17.0,27.0,-10.0,NYJ,2016NYJ4,4,NYJ,261,58
92,2016-10-02,2016,4,OAK,28.0,27.0,1.0,BAL,2016OAK4,4,OAK,199,62
93,2016-10-02,2016,4,PIT,43.0,14.0,29.0,PIT,2016PIT4,4,PIT,300,149
94,2016-10-02,2016,4,SEA,27.0,17.0,10.0,NYJ,2016SEA4,4,SEA,309,66
95,2016-10-02,2016,4,TEN,20.0,27.0,-7.0,HOU,2016TEN4,4,TEN,202,124
96,2016-10-02,2016,4,WAS,31.0,20.0,11.0,WAS,2016WAS4,4,WAS,183,145
97,2016-10-03,2016,4,MIN,24.0,10.0,14.0,MIN,2016MIN4,4,MIN,262,104
98,2016-10-03,2016,4,NYG,10.0,24.0,-14.0,MIN,2016NYG4,4,NYG,261,78
99,2016-10-06,2016,5,ARI,33.0,21.0,12.0,SF,2016ARI5,5,ARI,124,172
100,2016-10-09,2016,5,ATL,23.0,16.0,7.0,DEN,2016ATL5,5,ATL,267,122
101,2016-10-09,2016,5,BAL,10.0,16.0,-6.0,BAL,2016BAL5,5,BAL,210,118
102,2016-10-09,2016,5,BUF,30.0,19.0,11.0,LAR,2016BUF5,5,BUF,124,193
103,2016-10-09,2016,5,CHI,23.0,29.0,-6.0,IND,2016CHI5,5,CHI,397,125
104,2016-10-09,2016,5,CIN,14.0,28.0,-14.0,DAL,2016CIN5,5,CIN,269,96
105,2016-10-09,2016,5,CLE,13.0,33.0,-20.0,CLE,2016CLE5,5,CLE,249,27
106,2016-10-09,2016,5,DAL,28.0,14.0,14.0,DAL,2016DAL5,5,DAL,227,180
107,2016-10-09,2016,5,DEN,16.0,23.0,-7.0,DEN,2016DEN5,5,DEN,223,84
108,2016-10-09,2016,5,DET,24.0,23.0,1.0,DET,2016DET5,5,DET,180,80
109,2016-10-09,2016,5,HOU,13.0,31.0,-18.0,MIN,2016HOU5,5,HOU,184,59
110,2016-10-09,2016,5,IND,29.0,23.0,6.0,IND,2016IND5,5,IND,322,98
111,2016-10-09,2016,5,LAR,19.0,30.0,-11.0,LAR,2016LAR5,5,LAR,271,102
112,2016-10-09,2016,5,MIA,17.0,30.0,-13.0,MIA,2016MIA5,5,MIA,191,51
113,2016-10-09,2016,5,MIN,31.0,13.0,18.0,MIN,2016MIN5,5,MIN,271,96
114,2016-10-09,2016,5,NYG,16.0,23.0,-7.0,GB,2016NYG5,5,NYG,199,43
115,2016-10-09,2016,5,NYJ,13.0,31.0,-18.0,PIT,2016NYJ5,5,NYJ,255,72
116,2016-10-09,2016,5,OAK,34.0,31.0,3.0,OAK,2016OAK5,5,OAK,317,89
117,2016-10-09,2016,5,PHI,23.0,24.0,-1.0,DET,2016PHI5,5,PHI,179,94
118,2016-10-09,2016,5,PIT,31.0,13.0,18.0,PIT,2016PIT5,5,PIT,380,61
119,2016-10-09,2016,5,TEN,30.0,17.0,13.0,MIA,2016TEN5,5,TEN,163,235
120,2016-10-09,2016,5,WAS,16.0,10.0,6.0,BAL,2016WAS5,5,WAS,260,60
121,2016-10-10,2016,5,CAR,14.0,17.0,-3.0,CAR,2016CAR5,5,CAR,278,136
122,2016-10-13,2016,6,DEN,13.0,21.0,-8.0,LAC,2016DEN6,6,DEN,230,84
123,2016-10-16,2016,6,ATL,24.0,26.0,-2.0,SEA,2016ATL6,6,ATL,335,52
124,2016-10-16,2016,6,BAL,23.0,27.0,-4.0,NYG,2016BAL6,6,BAL,307,98
125,2016-10-16,2016,6,BUF,45.0,16.0,29.0,BUF,2016BUF6,6,BUF,179,313
126,2016-10-16,2016,6,CAR,38.0,41.0,-3.0,NO,2016CAR6,6,CAR,322,103
127,2016-10-16,2016,6,CHI,16.0,17.0,-1.0,CHI,2016CHI6,6,CHI,302,92
128,2016-10-16,2016,6,CIN,17.0,35.0,-18.0,NE,2016CIN6,6,CIN,254,120
129,2016-10-16,2016,6,CLE,26.0,28.0,-2.0,TEN,2016CLE6,6,CLE,337,40
130,2016-10-16,2016,6,DAL,30.0,16.0,14.0,GB,2016DAL6,6,DAL,247,191
131,2016-10-16,2016,6,DET,31.0,28.0,3.0,DET,2016DET6,6,DET,270,83
132,2016-10-16,2016,6,HOU,26.0,23.0,3.0,HOU,2016HOU6,6,HOU,269,158
133,2016-10-16,2016,6,IND,23.0,26.0,-3.0,HOU,2016IND6,6,IND,252,161
134,2016-10-16,2016,6,JAX,17.0,16.0,1.0,CHI,2016JAX6,6,JAX,246,105
135,2016-10-16,2016,6,LAR,28.0,31.0,-3.0,DET,2016LAR6,6,LAR,321,76
136,2016-10-16,2016,6,MIA,30.0,15.0,15.0,MIA,2016MIA6,6,MIA,252,222
137,2016-10-16,2016,6,NYG,27.0,23.0,4.0,NYG,2016NYG6,6,NYG,403,38
138,2016-10-16,2016,6,OAK,10.0,26.0,-16.0,OAK,2016OAK6,6,OAK,225,64
139,2016-10-16,2016,6,PHI,20.0,27.0,-7.0,WAS,2016PHI6,6,PHI,138,101
140,2016-10-16,2016,6,PIT,15.0,30.0,-15.0,MIA,2016PIT6,6,PIT,189,128
141,2016-10-16,2016,6,SEA,26.0,24.0,2.0,SEA,2016SEA6,6,SEA,225,52
142,2016-10-16,2016,6,TEN,28.0,26.0,2.0,TEN,2016TEN6,6,TEN,284,137
143,2016-10-16,2016,6,WAS,27.0,20.0,7.0,WAS,2016WAS6,6,WAS,263,230
144,2016-10-17,2016,6,ARI,28.0,3.0,25.0,ARI,2016ARI6,6,ARI,225,171
145,2016-10-17,2016,6,NYJ,3.0,28.0,-25.0,ARI,2016NYJ6,6,NYJ,205,33
146,2016-10-20,2016,7,CHI,10.0,26.0,-16.0,GB,2016CHI7,7,CHI,130,69
147,2016-10-23,2016,7,ARI,6.0,6.0,0.0,ARI,2016ARI7,7,ARI,342,132
148,2016-10-23,2016,7,ATL,30.0,33.0,-3.0,ATL,2016ATL7,7,ATL,273,130
149,2016-10-23,2016,7,BAL,16.0,24.0,-8.0,NYJ,2016BAL7,7,BAL,248,11
150,2016-10-23,2016,7,BUF,25.0,28.0,-3.0,MIA,2016BUF7,7,BUF,221,67
151,2016-10-23,2016,7,CIN,31.0,17.0,14.0,CIN,2016CIN7,7,CIN,308,271
152,2016-10-23,2016,7,CLE,17.0,31.0,-14.0,CIN,2016CLE7,7,CLE,182,180
153,2016-10-23,2016,7,DET,20.0,17.0,3.0,DET,2016DET7,7,DET,266,94
154,2016-10-23,2016,7,IND,34.0,26.0,8.0,TEN,2016IND7,7,IND,353,81
155,2016-10-23,2016,7,JAX,16.0,33.0,-17.0,JAX,2016JAX7,7,JAX,337,48
156,2016-10-23,2016,7,LAR,10.0,17.0,-7.0,LAR,2016LAR7,7,LAR,291,74
157,2016-10-23,2016,7,MIA,28.0,25.0,3.0,MIA,2016MIA7,7,MIA,204,256
158,2016-10-23,2016,7,MIN,10.0,21.0,-11.0,PHI,2016MIN7,7,MIN,228,57
159,2016-10-23,2016,7,NYG,17.0,10.0,7.0,LAR,2016NYG7,7,NYG,196,36
160,2016-10-23,2016,7,NYJ,24.0,16.0,8.0,NYJ,2016NYJ7,7,NYJ,215,155
161,2016-10-23,2016,7,OAK,33.0,16.0,17.0,JAX,2016OAK7,7,OAK,200,144
162,2016-10-23,2016,7,PHI,21.0,10.0,11.0,PHI,2016PHI7,7,PHI,202,97
163,2016-10-23,2016,7,PIT,16.0,27.0,-11.0,PIT,2016PIT7,7,PIT,281,94
164,2016-10-23,2016,7,SEA,6.0,6.0,0.0,ARI,2016SEA7,7,SEA,296,74
165,2016-10-23,2016,7,TEN,26.0,34.0,-8.0,TEN,2016TEN7,7,TEN,232,124
166,2016-10-23,2016,7,WAS,17.0,20.0,-3.0,DET,2016WAS7,7,WAS,301,130
167,2016-10-24,2016,7,DEN,27.0,9.0,18.0,DEN,2016DEN7,7,DEN,157,190
168,2016-10-24,2016,7,HOU,9.0,27.0,-18.0,DEN,2016HOU7,7,HOU,131,140
169,2016-10-27,2016,8,JAX,22.0,36.0,-14.0,TEN,2016JAX8,8,JAX,252,205
170,2016-10-27,2016,8,TEN,36.0,22.0,14.0,TEN,2016TEN8,8,TEN,280,214
171,2016-10-30,2016,8,ARI,20.0,30.0,-10.0,CAR,2016ARI8,8,ARI,363,24
172,2016-10-30,2016,8,ATL,33.0,32.0,1.0,ATL,2016ATL8,8,ATL,288,90
173,2016-10-30,2016,8,BUF,25.0,41.0,-16.0,BUF,2016BUF8,8,BUF,218,167
174,2016-10-30,2016,8,CAR,30.0,20.0,10.0,CAR,2016CAR8,8,CAR,225,59
175,2016-10-30,2016,8,CIN,27.0,27.0,0.0,CIN,2016CIN8,8,CIN,284,152
176,2016-10-30,2016,8,CLE,28.0,31.0,-3.0,CLE,2016CLE8,8,CLE,345,68
177,2016-10-30,2016,8,DAL,29.0,23.0,6.0,DAL,2016DAL8,8,DAL,255,168
178,2016-10-30,2016,8,DEN,27.0,19.0,8.0,DEN,2016DEN8,8,DEN,276,57
179,2016-10-30,2016,8,DET,13.0,20.0,-7.0,HOU,2016DET8,8,DET,240,58
180,2016-10-30,2016,8,HOU,20.0,13.0,7.0,HOU,2016HOU8,8,HOU,186,105
181,2016-10-30,2016,8,IND,14.0,30.0,-16.0,IND,2016IND8,8,IND,210,105
182,2016-10-30,2016,8,NYJ,31.0,28.0,3.0,CLE,2016NYJ8,8,NYJ,228,171
183,2016-10-30,2016,8,OAK,30.0,24.0,6.0,TB,2016OAK8,8,OAK,513,128
184,2016-10-30,2016,8,PHI,23.0,29.0,-6.0,DAL,2016PHI8,8,PHI,364,96
185,2016-10-30,2016,8,SEA,20.0,25.0,-5.0,NO,2016SEA8,8,SEA,282,33
186,2016-10-30,2016,8,WAS,27.0,27.0,0.0,CIN,2016WAS8,8,WAS,458,100
187,2016-10-31,2016,8,CHI,20.0,10.0,10.0,CHI,2016CHI8,8,CHI,252,158
188,2016-10-31,2016,8,MIN,10.0,20.0,-10.0,CHI,2016MIN8,8,MIN,273,78
189,2016-11-03,2016,9,ATL,43.0,28.0,15.0,TB,2016ATL9,9,ATL,344,136
